Event,processed_text
"Massive hail flow at street in Seregno, Italy 🇮🇹 (21.07.2023).",massive hail flow street seregno italy
"The massive winds storm in Stuttgart, Germany 🇩🇪 (25.08.2023).",massive wind storm stuttgart germany
"The massive floods due to heavy rains and passing Hurricane Hilary in Santa Rosalía of Baja California, Mexico 🇲🇽.",massive flood due heavy rain passing hurricane hilary santa rosalía baja california mexico
"Terrible floods after the heavy rains in the Santa Bárbara of Tarragona, Spain 🇪🇦.",terrible flood heavy rain santa bárbara tarragona spain
Massive flash floods in Üzümlü District of Erzincan in Turkey 🇹🇷 (29.08.2023).,massive flash flood üzümlü district erzincan turkey
Massive floods due to heavy rains in the Tsarevo of Bulgaria 🇧🇬 (05.09.2023).,massive flood due heavy rain tsarevo bulgaria
"Massive mud flood torrents sweeping in Blevio of Como, Italy 🇮🇹 (28.08.2023).",massive mud flood torrent sweeping blevio como italy
"Heavy floods due to extreme rains on the metro station in New York, USA.",heavy flood due extreme rain metro station new york usa
"A scary hailstorm in Arkansas, USA 🇺🇸.",scary hailstorm arkansas usa
"The massive hail stones battered in the eastern province of Kakheti, Georgia 🇬🇪.",massive hail stone battered eastern province kakheti georgia
"Massive winds storm in Mesa of Phoenix, Arizona.",massive wind storm mesa phoenix arizona
"The terrifying winds storm in Mallorca of Balearic Islands, Spain 🇪🇦 (27.08.2023).",terrifying wind storm mallorca balearic island spain
"Major flood on the streets due to heavy rains in Dubai, UAE 🇦🇪 (17.11.2023).",major flood street due heavy rain dubai uae
"Heavy floods due to extreme rains in Molina de Segura of Murcia province, Spain 🇪🇦 (12.09.2023).",heavy flood due extreme rain molina de segura murcia province spain
Moment of building collapse after the strong earthquake hits in Marrakesh of Morocco 🇲🇦.,moment building collapse strong earthquake hit marrakesh morocco
Heavy floods due to extreme rains in the Tripoli of Libya 🇱🇾 (09.09.2023).,heavy flood due extreme rain tripoli libya
"A violent hailstorm in the Amorebieta of Biscay, Spain 🇪🇦 (11.09.2023).",violent hailstorm amorebieta biscay spain
"Several vehicles swept away due to flood in Hérault of Occitania region, southern France 🇨🇵 (16.09.2023).",several vehicle swept away due flood hérault occitania region southern france
Massive tornado between Alfonsine and Conselice in Italy 🇮🇹 (22.07.2023).,massive tornado alfonsine conselice italy
"Massive floods due to extreme rains in Shanghai, China 🇨🇳 (11.09.2023).",massive flood due extreme rain shanghai china
"Heavy floods with large hail in Worms, Germany (12.09.2023).",heavy flood large hail worm germany
"Massive floods with hail in Corella of Navarre, Spain 🇪🇦 (10.09.2023).",massive flood hail corella navarre spain
"Violent storm in the city of Trieste, Italy 🇮🇹 (28.08.2023).",violent storm city trieste italy
"Massive flood due to extreme rains in Samad al-Shan of al-Sharqiyah province, Oman 🇴🇲 (17.09.2023).",massive flood due extreme rain samad alshan alsharqiyah province oman
"Terrifying rainstorm in Mecca, Saudi Arabia 🇸🇦 (22.08.2023).",terrifying rainstorm mecca saudi arabia
"Massive floods due to heavy rains in Agios Nikolaos of Crete, Greece.",massive flood due heavy rain agio nikolaos crete greece
